Resturaunts,Times,Menu,Calories: Macro Data
Stack’d Dessert Bar ,"Friday: 11:00 AM - 11:59 PM
Saturday: 11:00 AM - 11:59 PM
Sunday: 11:00 AM - 11:59 PM
Monday: 11:00 AM - 11:59 PM
Tuesday: 11:00 AM - 11:59 PM
Wednesday: 11:00 AM - 11:59 PM
Thursday: 11:00 AM - 11:59 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/190/STUAFF-24-124-Stackd-Underground-Board3-dessert_07%20(1).pdf,
,,,
Stack’d Underground ,"Friday: 11:00 AM - 11:59 PM
Saturday: 11:00 AM - 11:59 PM
Sunday: 11:00 AM - 11:59 PM
Monday: 11:00 AM - 11:59 PM
Tuesday: 11:00 AM - 11:59 PM
Wednesday: 11:00 AM - 11:59 PM
Thursday: 11:00 AM - 11:59 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/188/stackdmenu-23-v2.pdf,
,,,
Sweet Plantain ,"Friday: CLOSED
Saturday: CLOSED
Sunday: 4:30 PM - 9:00 PM
Monday: 4:30 PM - 9:00 PM
Tuesday: 4:30 PM - 9:00 PM
Wednesday: 4:30 PM - 9:00 PM
Thursday: 4:30 PM - 9:00 PM",(can't find),
,,,
Tahini,"Friday: 11:00 AM - 2:00 PM
Saturday: CLOSED
Sunday: 5:00 PM - 9:00 PM
Monday: 11:00 AM - 2:00 PM, 4:00 PM - 9:00 PM
Tuesday: 11:00 AM - 2:00 PM, 4:00 PM - 9:00 PM
Wednesday: 11:00 AM - 2:00 PM, 4:00 PM - 9:00 PM
Thursday: 11:00 AM - 2:00 PM, 4:00 PM - 9:00 PM",https://drive.google.com/file/d/1PuwIZBO-09GOK1vK5g6AeLlkaVLpxz7O/view?usp=sharing,
,,,
Tartan Express Food Truck ,"Friday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM
Saturday: 12:00 PM - 8:00 PM
Sunday: CLOSED
Monday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM
Tuesday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM
Wednesday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM
Thursday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM",(can't find),
,,,
Taste of India ,"Friday: 11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM
Saturday: 4:30 PM - 9:00 PM
Sunday: 4:30 PM - 9:00 PM
Monday: 11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM
Tuesday: 11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM
Wednesday: 11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM
Thursday: 11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM",(can't find),
,,,
Tepper Taqueria ,"Friday: 11:00 AM - 4:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 11:00 AM - 7:00 PM
Tuesday: 11:00 AM - 4:00 PM
Wednesday: 11:00 AM - 7:00 PM
Thursday: 11:00 AM - 7:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/185/Tepper%20Taqueria%20Static.pdf,
,,,
Tepper Taqueria Express ,"Friday: 11:00 AM - 4:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 11:00 AM - 4:00 PM
Tuesday: 11:00 AM - 4:00 PM
Wednesday: 11:00 AM - 4:00 PM
Thursday: 11:00 AM - 4:00 PM",,
,,,
Wild Blue Sushi – Ruge Atrium ,"Friday: 11:00 AM - 6:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 11:00 AM - 6:00 PM
Tuesday: 11:00 AM - 6:00 PM
Wednesday: 11:00 AM - 6:00 PM
Thursday: 11:00 AM - 6:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/155/Wild%20Blue%20Dashboard%20Menu%20(1).pdf,
,,,
Zebra Lounge,"Friday: 8:00 AM - 4:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 8:00 AM - 4:00 PM
Tuesday: 8:00 AM - 4:00 PM
Wednesday: 8:00 AM - 4:00 PM
Thursday: 8:00 AM - 4:00 PM",(on discord),
